TeamName,G,Date,,Opp,WinorLose,points,opp_points,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Miami Heat,1,10/21/2021,,MIL,W,137,95,51,96,0.531,15,35,0.429,20,31,0.645,11,58,28,8,2,11,26,,32,84,0.381,12,42,0.286,19,29,0.655,5,38,19,6,0,15,26
Miami Heat,2,10/23/2021,@,IND,L,91,102,35,91,0.385,9,33,0.273,12,14,0.857,10,55,18,4,2,22,25,,38,97,0.392,10,39,0.256,16,21,0.762,14,55,18,10,5,16,18
Miami Heat,3,10/25/2021,,ORL,W,107,90,41,87,0.471,6,27,0.222,19,19,1,9,42,28,10,2,10,19,,33,81,0.407,12,44,0.273,12,19,0.632,6,39,21,7,6,16,22
Miami Heat,4,10/27/2021,@,BRK,W,106,93,38,96,0.396,8,29,0.276,22,26,0.846,17,62,21,6,2,14,19,,33,85,0.388,14,43,0.326,13,14,0.929,4,42,21,7,7,15,24
Miami Heat,5,10/29/2021,,CHO,W,114,99,43,91,0.473,9,35,0.257,19,19,1,16,60,23,6,3,17,20,,35,90,0.389,13,37,0.351,16,22,0.727,11,37,21,8,6,11,17
Miami Heat,6,10/30/2021,@,MEM,W,129,103,46,88,0.523,21,37,0.568,16,19,0.842,11,50,31,12,2,18,17,,34,88,0.386,16,50,0.32,19,21,0.905,8,32,26,14,7,14,17
Miami Heat,7,11/2/2021,@,DAL,W,125,110,43,83,0.518,13,25,0.52,26,30,0.867,9,45,25,6,5,6,25,,37,84,0.44,14,42,0.333,22,31,0.71,11,41,17,1,3,9,21
Miami Heat,8,11/4/2021,,BOS,L,78,95,28,81,0.346,9,41,0.22,13,19,0.684,13,45,18,8,0,18,19,,31,78,0.397,16,41,0.39,17,20,0.85,11,46,16,7,4,16,16
Miami Heat,9,11/6/2021,,UTA,W,118,115,47,78,0.603,11,21,0.524,13,17,0.765,7,36,30,3,1,14,18,,43,83,0.518,15,45,0.333,14,19,0.737,7,31,26,10,3,6,19
Miami Heat,10,11/8/2021,@,DEN,L,96,113,31,78,0.397,13,36,0.361,21,25,0.84,6,37,22,3,3,13,20,,42,91,0.462,12,41,0.293,17,24,0.708,12,49,28,7,5,9,23
